artifact_id,question,type,title,purpose,script,data_file,artifact_file,report_location,status,notes
Q3-T02,q3,table,q3 依赖审计表,记录 q2 carry/apex/ODE/fixed split 依赖检查,questions/q3/scripts/pipeline.py,questions/q3/artifacts/tables/q3_dependency_audit.csv,questions/q3/artifacts/tables/q3_dependency_audit.csv,论文第3问附表,supported,
Q3-T03,q3,table,横向偏移模型性能表,报告 lateral 候选模型 CV 和固定测试集指标,questions/q3/scripts/pipeline.py,questions/q3/artifacts/tables/q3_lateral_model_metrics.csv,questions/q3/artifacts/tables/q3_lateral_model_metrics.csv,论文第3问,supported,
Q3-T04,q3,table,q3 优化运行表,记录五个随机种子的差分进化运行和局部采样结果,questions/q3/scripts/pipeline.py,questions/q3/artifacts/tables/q3_optimization_runs.csv,questions/q3/artifacts/tables/q3_optimization_runs.csv,论文第3问附表,supported,
Q3-T05,q3,table,q3 扰动稳健性明细,记录最优候选的参数扰动样本和距洞误差,questions/q3/scripts/pipeline.py,questions/q3/artifacts/tables/q3_parameter_robustness.csv,questions/q3/artifacts/tables/q3_parameter_robustness.csv,论文第3问附表,supported,
Q3-T06,q3,table,q3 模型分歧检查表,记录 carry/lateral ensemble 对候选点预测分歧,questions/q3/scripts/pipeline.py,questions/q3/artifacts/tables/q3_model_crosscheck.csv,questions/q3/artifacts/tables/q3_model_crosscheck.csv,论文第3问附表,supported,
Q3-T07,q3,table,q3 ODE 复核表,记录最佳观测/名义/稳健候选的 q2 ODE 交叉检查,questions/q3/scripts/pipeline.py,questions/q3/artifacts/tables/q3_ode_crosscheck.csv,questions/q3/artifacts/tables/q3_ode_crosscheck.csv,论文第3问,supported,
Q3-F01,q3,figure,最优参数三维轨迹图,展示稳健推荐下 q2 ODE 轨迹和洞口误差线,questions/q3/scripts/visualize.py,questions/q3/artifacts/figure_data/q3_optimal_trajectory_3d.csv,questions/q3/artifacts/figures/q3_optimal_trajectory_3d.png,论文第3问,supported,同名 meta.json 已生成
Q3-F02,q3,figure,最优参数轨迹侧视图,展示稳健推荐轨迹最高点与洞口 x 位置,questions/q3/scripts/visualize.py,questions/q3/artifacts/figure_data/q3_optimal_trajectory_side.csv,questions/q3/artifacts/figures/q3_optimal_trajectory_side.png,论文第3问,supported,同名 meta.json 已生成
Q3-F03,q3,figure,最优参数轨迹俯视图,展示稳健推荐落点横向偏移和洞口误差线,questions/q3/scripts/visualize.py,questions/q3/artifacts/figure_data/q3_optimal_trajectory_top.csv,questions/q3/artifacts/figures/q3_optimal_trajectory_top.png,论文第3问,supported,同名 meta.json 已生成
Q3-F04,q3,figure,速度-发射角目标函数切片,展示稳健推荐附近的监督目标函数等高线,questions/q3/scripts/visualize.py,questions/q3/artifacts/figure_data/q3_objective_slice_speed_angle.csv,questions/q3/artifacts/figures/q3_objective_slice_speed_angle.png,论文第3问,supported,同名 meta.json 已生成
Q3-F05,q3,figure,自旋速率-自旋轴目标函数切片,展示稳健推荐附近的监督目标函数等高线,questions/q3/scripts/visualize.py,questions/q3/artifacts/figure_data/q3_objective_slice_spin.csv,questions/q3/artifacts/figures/q3_objective_slice_spin.png,论文第3问,supported,同名 meta.json 已生成
Q2-T13,q2,table,task3 drag calibration records,Records selected by multidimensional coverage for drag calibration,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_drag_calibration_records.csv,questions/q2/artifacts/tables/q2_drag_calibration_records.csv,第二问附表,supported,36 records
Q2-T14,q2,table,task3 lift calibration records,Records selected by multidimensional coverage for lift calibration,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_lift_calibration_records.csv,questions/q2/artifacts/tables/q2_lift_calibration_records.csv,第二问附表,supported,24 records
Q2-T15,q2,table,task3 ODE optimization runs,Bounded local optimization attempts after coarse grid search,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_drag_optimization_runs.csv;questions/q2/artifacts/tables/q2_constant_lift_optimization_runs.csv;questions/q2/artifacts/tables/q2_spin_factor_optimization_runs.csv,questions/q2/artifacts/tables/q2_drag_optimization_runs.csv;questions/q2/artifacts/tables/q2_constant_lift_optimization_runs.csv;questions/q2/artifacts/tables/q2_spin_factor_optimization_runs.csv,第二问附表,supported,selected run has full-train objective
Q2-T16,q2,table,carry definition comparison,Compare D_x and D_r definitions on fixed test split,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_carry_definition_comparison.csv,questions/q2/artifacts/tables/q2_carry_definition_comparison.csv,第二问附表,supported,adopt D_x
Q2-T17,q2,table,dual role typical trajectories,Separate best-fit and q3-compatible trajectory tables,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_typical_trajectories_constant_lift.csv;questions/q2/artifacts/tables/q2_typical_trajectories_spin_factor.csv,questions/q2/artifacts/tables/q2_typical_trajectories_constant_lift.csv;questions/q2/artifacts/tables/q2_typical_trajectories_spin_factor.csv,第二问附表,supported,constant_lift and spin_factor_lift
Q2-F11,q2,figure,constant-lift typical trajectories 3D,Best-fit ODE 3D trajectory figure,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_typical_trajectories_constant_lift_3d.csv,questions/q2/artifacts/figures/q2_typical_trajectories_constant_lift_3d.png,第二问图,supported,same-stem csv and meta
Q2-F12,q2,figure,spin-factor typical trajectories 3D,Q3-compatible ODE 3D trajectory figure,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_typical_trajectories_spin_factor_3d.csv,questions/q2/artifacts/figures/q2_typical_trajectories_spin_factor_3d.png,第二问图,supported,same-stem csv and meta
Q2-T18,q2,table,task4 calibration failure tables,Per-model calibration integration failure evidence,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_drag_calibration_failures.csv;questions/q2/artifacts/tables/q2_constant_lift_calibration_failures.csv;questions/q2/artifacts/tables/q2_spin_factor_calibration_failures.csv,questions/q2/artifacts/tables/q2_drag_calibration_failures.csv;questions/q2/artifacts/tables/q2_constant_lift_calibration_failures.csv;questions/q2/artifacts/tables/q2_spin_factor_calibration_failures.csv,第二问附表,supported,selected models have zero failures
Q2-T19,q2,table,task4 validation checks,Forward carry optimizer and q3 boundary validation checks,questions/q2/scripts/validate.py,questions/q2/artifacts/tables/q2_validation_checks.csv,questions/q2/artifacts/tables/q2_validation_checks.csv,第二问附表,supported,165 checks passed
