claim_id,question,claim,evidence_type,data_source,script,config,artifact,validation,status,notes
Q3-C02,q3,稳健推荐参数下的三维轨迹可由 q2 ODE 接口复现并生成图表数据,experiment,data/processed/golf_shots_clean.csv,questions/q3/scripts/pipeline.py;questions/q3/scripts/visualize.py,configs/default.yaml,questions/q3/artifacts/tables/q3_ode_crosscheck.csv;questions/q3/artifacts/tables/q3_optimal_trajectory.csv;questions/q3/artifacts/figures/q3_optimal_trajectory_3d.png;questions/q3/artifacts/figures/q3_optimal_trajectory_side.png;questions/q3/artifacts/figures/q3_optimal_trajectory_top.png,ODE integration success + figure data/meta validation,supported,ODE is crosscheck only not real-shot validation
Q3-C03,q3,横向偏移代理模型可在 q2 固定测试集上评价并用于第三问目标函数,experiment,data/processed/golf_shots_clean.csv,questions/q3/scripts/pipeline.py,configs/default.yaml,questions/q3/artifacts/tables/q3_lateral_model_metrics.csv;questions/q3/artifacts/tables/q3_lateral_predictions.csv;questions/q3/artifacts/tables/q3_surrogate_ensemble_metrics.csv,train CV selection + fixed test metrics + q3 validation,supported,HGB lateral test RMSE=5.475yd R2=0.958
Q3-C04,q3,195 200 205 yd 目标距离均已独立重优化而非复用 200 yd 候选池,experiment,data/processed/golf_shots_clean.csv,questions/q3/scripts/pipeline.py,configs/default.yaml,questions/q3/artifacts/tables/q3_target_optimization_runs.csv;questions/q3/artifacts/tables/q3_target_optimal_parameters.csv,per-target LHS + at least 3 DE seeds + local refinement + q3 validation,supported,target objectives 195=0.011yd 200=0.010yd 205=0.016yd
Q3-C05,q3,近优解存在非唯一性且参数结论应报告区间,validation,data/processed/golf_shots_clean.csv,questions/q3/scripts/pipeline.py;questions/q3/scripts/validate.py,configs/default.yaml,questions/q3/artifacts/tables/q3_near_optimal_parameter_ranges.csv;questions/q3/artifacts/tables/q3_robust_candidate_pool.csv;questions/q3/artifacts/tables/q3_support_comparison.csv,near-optimal ranges + full-input support + q3 validation,supported,482 supported near-optimal parameter sets; 256 predicted landing pairs; largest plateau size 20
Q2-C06,q2,ODE 标定已按 drag/lift 配置分别接线并使用多维代表样本,validation,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_drag_calibration_records.csv;questions/q2/artifacts/tables/q2_lift_calibration_records.csv;questions/q2/artifacts/tables/q2_validation_checks.csv,task4 validation 165 checks,supported,drag=36 lift=24
Q2-C07,q2,ODE 参数经过粗网格和有界局部优化并记录边界状态,experiment,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_drag_optimization_runs.csv;questions/q2/artifacts/tables/q2_constant_lift_optimization_runs.csv;questions/q2/artifacts/tables/q2_spin_factor_optimization_runs.csv;questions/q2/artifacts/tables/q2_ode_parameters.csv,repeat pipeline hash check + q2 validation,supported,drag C_D boundary_solution; constant_lift C_D=0.238654 C_L=0.203952; spin_factor C_D=0.050059 k_L=0.151837
Q2-C08,q2,第二问主 ODE 与第三问兼容 ODE 已分离输出,experiment,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_typical_trajectories_constant_lift.csv;questions/q2/artifacts/tables/q2_typical_trajectories_spin_factor.csv;questions/q2/artifacts/run_metadata.json,task3 model role checks,supported,best_fit=constant_lift q3_compatible=spin_factor_lift
Q2-C09,q2,carry 距离定义和顺逆风方向已验证,validation,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_carry_definition_comparison.csv;questions/q2/artifacts/tables/q2_ode_sensitivity.csv,metrics recomputed from forward_x predictions + wind order check,supported,adopt D_x; wind order checked with 0.01 yd tolerance
Q2-C10,q2,task4 统一 forward_x carry 并防止优化器失败被误标成功,validation,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_ode_test_predictions.csv;questions/q2/artifacts/tables/q2_ode_test_metrics.csv;questions/q2/artifacts/tables/q2_validation_checks.csv,task4 forward_x metric recomputation + optimizer acceptance checks,supported,selected optimizer runs accepted and objective finite; selected failure counts are 0
Q2-C11,q2,第三问兼容 spin_factor_lift 通过边界稳定性验收,validation,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_ode_validation_checks.csv;questions/q2/artifacts/run_metadata.json,q3 boundary combinations + metadata check,supported,16 boundary cases pass; max flight_time=8.611s max_apex=93.551yd max_lateral=152.335yd
Q2-C12,q2,ODE 求解时间上限由配置控制且时间上限耗尽被显式标记,validation,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py;questions/q2/scripts/validate.py;tests/test_q2_q3_integration.py,configs/default.yaml,questions/q2/artifacts/tables/q2_validation_checks.csv;questions/q2/artifacts/run_metadata.json,166 项 q2 validation + q2_q3 integration test,supported,solver.max_flight_time_s=20.0; 超时状态为 time_horizon_exceeded
Q3-C06,q3,Q2/Q3 代码产物元数据和核心 CSV 属于同一可复现发布版本,validation,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py;questions/q3/scripts/pipeline.py;tests/test_q2_q3_integration.py,configs/default.yaml,docs/reproducibility/q2_q3_release_manifest.json;questions/q3/artifacts/tables/q3_dependency_audit.csv;questions/q3/artifacts/run_metadata.json,q2/q3 pipeline + q2/q3 validation + integration pytest,supported,release manifest records config/data/run_metadata/core CSV SHA256 and q3 records current q2 metadata hash
